fair | O | The recruitment process was deemed _______ and transparent by all candidates. | [원칙 (1) 문맥] 투명하고 '공정한' 채용 과정이라는 의미가 자연스럽습니다.
list | O | Please _______ your previous work experiences in the application form. | [원칙 (2) 문법] 타동사 자리로 '목록에 기입하다'라는 의미의 동사 list가 적절합니다.
aptitude | O | The candidate has a natural _______ for computer programming. | [원칙 (1) 문맥] 프로그래밍에 대한 타고난 '적성/재능'을 뜻하므로 적절합니다.
be admitted to | X | All visitors are _______ to show their ID at the entrance. | [원칙 (3) 콜로케이션] 입장하다는 'be admitted to'이나, 이 문장은 '권고받다'인 'be advised to'가 문맥상 더 정확하거나 구조가 다릅니다.
criteria | O | The selection _______ for the new manager are very strict. | [원칙 (1) 문맥] 선택 '기준'이라는 의미의 복수 명사로 적절합니다.
insufficient | O | The evidence provided was _______ to support the claim. | [원칙 (1) 문맥] 주장을 뒷받침하기에 '불충분한'이라는 뜻이 논리적입니다.
particular | O | He has _______ experience in the field of international trade. | [원칙 (1) 문맥] 국제 무역 분야의 '특정한/실무적' 경험을 의미합니다.
reference letter | O | A strong _______ from your former employer is required. | [원칙 (1) 문맥] 고용주가 써주는 '추천서'를 의미하므로 적절합니다.
excel | O | The company aims to _______ in customer service satisfaction. | [원칙 (1) 문맥] 서비스 만족도 면에서 '능가하다/뛰어나다'는 의미로 적절합니다.
talented | O | She is a highly _______ applicant with multiple certifications. | [원칙 (1) 문맥] 자격증이 많은 '유능한' 지원자라는 의미가 자연스럽습니다.
workforce | O | The total _______ has increased by 10% this year. | [원칙 (1) 문맥] 회사의 '직원 수/노동인구'가 증가했다는 의미입니다.
endurance | O | He showed great _______ by finishing the marathon despite the pain. | [원칙 (1) 문맥] 고통에도 불구하고 완주한 '인내력'을 뜻합니다.
bilingual | O | The applicant is _______ and can speak both English and Spanish. | [원칙 (1) 문맥] 2개 국어를 구사한다는 내용과 일치합니다.
